model,MAE,RMSE,MAPE_pct,R2
AR Lasso Regression,3255.2926799284346,4955.843342145125,1.2125561420707065,0.8444206951648803
Annual-drift baseline,3596.560866590897,5215.396151395116,1.3324674497184543,0.8276976138417657
Persistence baseline,3727.898717499993,5247.147242890859,1.380678073137318,0.8255932897890093
AR ANN — 16,5452.752186041663,6444.8800975565355,1.9780664715691583,0.7368845371621013
12-month seasonal baseline,22282.34360416666,23148.001815980446,8.042419286078214,-2.3942490337825078
